"任务ID","任务定义ID","任务名称","任务日期","任务开始时间","任务时长","进/出港","到达航班ID","到达航班预达时间","到达航班计划到达时间","出发航班ID","出发航班预离时间","出发航班计划预离时间","到达航班号","出发航班号","航班类型","任务资质要求","航站楼","区域","机位","其他位置信息","任务是否允许双机","任务是否必须派工","任务是否为难保障任务","关联任务ID","员工编号","车牌号"
"8a69ec969a4879bc019aa4ec4f8a30bd","d39636f6f7374cb4933ad004d77246f1","出港装机","2025-11-21","2025-11-21 17:05:00",55,"出","8a69eb009a363b11019aa09d49b0272e","2025-11-21 16:17:00","2025-11-21 16:40:00","8a69eb009a363b11019aa09d49af26fb","2025-11-21 18:05:00","2025-11-21 18:05:00","SC2203","SC2204","长过站","","T1",,"16",,"Y","Y","N",,,
"8a69ec969a4879bc019aa4ec4f8a30be","d39636f6f7374cb4933ad004d77246f1","出港装机","2025-11-21","2025-11-21 17:05:00",55,"出","8a69eb009a363b11019aa09d49b0272e","2025-11-21 16:17:00","2025-11-21 16:40:00","8a69eb009a363b11019aa09d49af26fb","2025-11-21 18:05:00","2025-11-21 18:05:00","SC2203","SC2204","长过站","","T1",,"16",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd92f89","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 16:00:00",20,"出","8a69eb009a363b11019aa09d49b0272f","2025-11-21 16:37:00","2025-11-21 16:30:00","8a69eb009a363b11019aa09d49af26fc","2025-11-21 17:30:00","2025-11-21 17:30:00","CZ6917","CZ6918","短过站","押运","T1",,"6",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925531ff4","dabb4bec44524048a80e6ea59871de8d","进港押运","2025-11-21","2025-11-21 19:22:00",25,"进","8a69eb009a363b11019aa09d49af26ff","2025-11-21 18:52:00","2025-11-21 18:55:00",,,,"MU5506",,"航后","押运","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925521fef","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 18:52:00",30,"进","8a69eb009a363b11019aa09d49af26ff","2025-11-21 18:52:00","2025-11-21 18:55:00",,,,"MU5506",,"航后","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925531ff0","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 18:52:00",30,"进","8a69eb009a363b11019aa09d49af26ff","2025-11-21 18:52:00","2025-11-21 18:55:00",,,,"MU5506",,"航后","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925531ff1","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 18:52:00",30,"进","8a69eb009a363b11019aa09d49af26ff","2025-11-21 18:52:00","2025-11-21 18:55:00",,,,"MU5506",,"航后","","T1",,"1",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cd92f8c","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 19:50:00",20,"出","8a69eb009a363b11019aa09d49ae267e",,"2025-11-21 20:25:00","8a69eb009a363b11019aa09d49af2700","2025-11-21 21:20:00","2025-11-21 21:20:00","3U8105","3U8106","短过站","押运","T1",,"8",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cda2f8f","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 15:35:00",20,"出","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","押运","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbd297b","d39636f6f7374cb4933ad004d77246f1","出港装机","2025-11-21","2025-11-21 16:05:00",55,"出","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbd297c","d39636f6f7374cb4933ad004d77246f1","出港装机","2025-11-21","2025-11-21 16:05:00",55,"出","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3d8cdbd297d","d39636f6f7374cb4933ad004d77246f1","出港装机","2025-11-21","2025-11-21 16:05:00",55,"出","8a69eb009a363b11019aa09d49af26cc","2025-11-21 15:32:00","2025-11-21 15:30:00","8a69eb009a363b11019aa09d49af2701","2025-11-21 17:05:00","2025-11-21 17:05:00","SC2201","SC2202","短过站","","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922b30cb3","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:34:00",36,"进","8a69eb009a363b11019aa09d49af2702","2025-11-21 11:34:00","2025-11-21 11:45:00","8a69eb009a363b11019aa09d49ae2699","2025-11-21 12:35:00","2025-11-21 12:35:00","EU1871","EU1872","短过站","","T1",,"13",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922b40cb4","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:34:00",36,"进","8a69eb009a363b11019aa09d49af2702","2025-11-21 11:34:00","2025-11-21 11:45:00","8a69eb009a363b11019aa09d49ae2699","2025-11-21 12:35:00","2025-11-21 12:35:00","EU1871","EU1872","短过站","","T1",,"13",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922b40cb5","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:34:00",36,"进","8a69eb009a363b11019aa09d49af2702","2025-11-21 11:34:00","2025-11-21 11:45:00","8a69eb009a363b11019aa09d49ae2699","2025-11-21 12:35:00","2025-11-21 12:35:00","EU1871","EU1872","短过站","","T1",,"13",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169256d2095","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:45:00",30,"进","8a69eb009a363b11019aa09d49af2703",,"2025-11-21 23:45:00",,,,"FU6510",,"航后","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169256d2096","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:45:00",30,"进","8a69eb009a363b11019aa09d49af2703",,"2025-11-21 23:45:00",,,,"FU6510",,"航后","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169256e2097","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:45:00",30,"进","8a69eb009a363b11019aa09d49af2703",,"2025-11-21 23:45:00",,,,"FU6510",,"航后","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4ca32e03","f705b79efe7c49b39c7c6c3bcfda88b1","进港押运","2025-11-21","2025-11-22 00:15:00",20,"进","8a69eb009a363b11019aa09d49af2703",,"2025-11-21 23:45:00",,,,"FU6510",,"航后","押运","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922d10d88","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:15:00",36,"进","8a69eb009a363b11019aa09d49af2704","2025-11-21 18:15:00","2025-11-21 18:20:00","8a69eb009a363b11019aa09d49ae266e","2025-11-21 19:10:00","2025-11-21 19:10:00","MU6155","MU6156","短过站","","T1",,"9",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922d10d89","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:15:00",36,"进","8a69eb009a363b11019aa09d49af2704","2025-11-21 18:15:00","2025-11-21 18:20:00","8a69eb009a363b11019aa09d49ae266e","2025-11-21 19:10:00","2025-11-21 19:10:00","MU6155","MU6156","短过站","","T1",,"9",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922d10d8a","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 18:15:00",36,"进","8a69eb009a363b11019aa09d49af2704","2025-11-21 18:15:00","2025-11-21 18:20:00","8a69eb009a363b11019aa09d49ae266e","2025-11-21 19:10:00","2025-11-21 19:10:00","MU6155","MU6156","短过站","","T1",,"9",,"Y","Y","N",,,
"8a69ec969a4879bc019aa549ffac57b4","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69ec969a4879bc019aa549ffac57b5","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69ec969a4879bc019aa549ffac57b6","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922f20e7e","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922f30e7f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16922f30e80","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 16:06:00",36,"进","8a69eb009a363b11019aa09d49af2705","2025-11-21 16:06:00","2025-11-21 16:15:00","8a69eb009a363b11019aa09d49af2722","2025-11-21 17:20:00","2025-11-21 17:20:00","CZ3877","CZ3878","短过站","","T1",,"3",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169230b0f2f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 12:42:00",36,"进","8a69eb009a363b11019aa09d49af2706","2025-11-21 12:42:00","2025-11-21 12:40:00","8a69eb009a363b11019aa09d49af26e9","2025-11-21 13:50:00","2025-11-21 13:50:00","JD5617","JD5617","短过站","","T1",,"15",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169230b0f30","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 12:42:00",36,"进","8a69eb009a363b11019aa09d49af2706","2025-11-21 12:42:00","2025-11-21 12:40:00","8a69eb009a363b11019aa09d49af26e9","2025-11-21 13:50:00","2025-11-21 13:50:00","JD5617","JD5617","短过站","","T1",,"15",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169230b0f31","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 12:42:00",36,"进","8a69eb009a363b11019aa09d49af2706","2025-11-21 12:42:00","2025-11-21 12:40:00","8a69eb009a363b11019aa09d49af26e9","2025-11-21 13:50:00","2025-11-21 13:50:00","JD5617","JD5617","短过站","","T1",,"15",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cda2f92","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 09:10:00",20,"出","8a69eb009a363b11019aa09d49ae2674","2025-11-21 09:52:00","2025-11-21 09:50:00","8a69eb009a363b11019aa09d49af2707","2025-11-21 10:40:00","2025-11-21 10:40:00","HO1113","HO1114","短过站","押运","T1",,"14",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa42111ea41d1","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:03:00",30,"进","8a69eb009a363b11019aa09d49af2708","2025-11-21 15:03:00","2025-11-21 14:50:00","8a69eb009a363b11019aa09d49ae2660","2025-11-21 16:40:00","2025-11-21 16:40:00","SC8714","SC8713","短过站","","T1",,"10",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa42111eb41d2","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:03:00",30,"进","8a69eb009a363b11019aa09d49af2708","2025-11-21 15:03:00","2025-11-21 14:50:00","8a69eb009a363b11019aa09d49ae2660","2025-11-21 16:40:00","2025-11-21 16:40:00","SC8714","SC8713","短过站","","T1",,"10",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa42111eb41d3","822e7f3b408046b4a17632c30823c585","进港卸机","2025-11-21","2025-11-21 15:03:00",30,"进","8a69eb009a363b11019aa09d49af2708","2025-11-21 15:03:00","2025-11-21 14:50:00","8a69eb009a363b11019aa09d49ae2660","2025-11-21 16:40:00","2025-11-21 16:40:00","SC8714","SC8713","短过站","","T1",,"10",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169234610df","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 13:42:00",36,"进","8a69eb009a363b11019aa09d49af270b","2025-11-21 13:42:00","2025-11-21 13:50:00","8a69eb009a363b11019aa09d49af271b","2025-11-21 15:00:00","2025-11-21 15:00:00","SC2207","SC2208","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169234610e0","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 13:42:00",36,"进","8a69eb009a363b11019aa09d49af270b","2025-11-21 13:42:00","2025-11-21 13:50:00","8a69eb009a363b11019aa09d49af271b","2025-11-21 15:00:00","2025-11-21 15:00:00","SC2207","SC2208","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169234610e1","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 13:42:00",36,"进","8a69eb009a363b11019aa09d49af270b","2025-11-21 13:42:00","2025-11-21 13:50:00","8a69eb009a363b11019aa09d49af271b","2025-11-21 15:00:00","2025-11-21 15:00:00","SC2207","SC2208","短过站","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cda2f95","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 10:40:00",20,"出","8a69eb009a363b11019aa09d49af26e6","2025-11-21 11:08:00","2025-11-21 11:05:00","8a69eb009a363b11019aa09d49af270c","2025-11-21 12:10:00","2025-11-21 12:10:00","3U8905","3U8906","短过站","押运","T1",,"8",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169235e1190","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","","T1",,"8",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169235e1191","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","","T1",,"8",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa169235e1192","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 17:56:00",36,"进","8a69eb009a363b11019aa09d49af270d","2025-11-21 17:56:00","2025-11-21 18:30:00","8a69eb009a363b11019aa09d49ae2696","2025-11-21 19:25:00","2025-11-21 19:25:00","MU5599","MU5661","短过站","","T1",,"8",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925922161","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:10:00",30,"进","8a69eb009a363b11019aa09d49af270e",,"2025-11-21 23:10:00",,,,"FU6508",,"航后","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925922162","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:10:00",30,"进","8a69eb009a363b11019aa09d49af270e",,"2025-11-21 23:10:00",,,,"FU6508",,"航后","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925922163","aa4258e7afe64500bdb1c4cdef784409","进港卸机","2025-11-21","2025-11-21 23:10:00",30,"进","8a69eb009a363b11019aa09d49af270e",,"2025-11-21 23:10:00",,,,"FU6508",,"航后","","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4ca62e16","f705b79efe7c49b39c7c6c3bcfda88b1","进港押运","2025-11-21","2025-11-21 23:40:00",20,"进","8a69eb009a363b11019aa09d49af270e",,"2025-11-21 23:10:00",,,,"FU6508",,"航后","押运","T1",,"19",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa44056b9484b","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa44056b9484c","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa44056b9484d","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692381128f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923811290","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923811291","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 11:38:00",36,"进","8a69eb009a363b11019aa09d49af270f","2025-11-21 11:38:00","2025-11-21 11:35:00","8a69eb009a363b11019aa09d49af26f4","2025-11-21 12:25:00","2025-11-21 12:25:00","KN5937","KN5938","短过站","","T1",,"28",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cdb2f98","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 18:25:00",20,"出","8a69eb009a363b11019aa09d49af2727","2025-11-21 18:41:00","2025-11-21 18:55:00","8a69eb009a363b11019aa09d49af2710","2025-11-21 19:55:00","2025-11-21 19:55:00","HU7295","HU7296","短过站","押运","T1",,"16",,"Y","Y","N",,,
"8a69cc739a4879aa019aa55fe3d53964","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69cc739a4879aa019aa55fe3d53965","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69cc739a4879aa019aa55fe3d53966","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692399133e","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa1692399133f","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923991340","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 15:12:00",36,"进","8a69eb009a363b11019aa09d49af2711","2025-11-21 15:12:00","2025-11-21 15:10:00","8a69eb009a363b11019aa09d49ae2693","2025-11-21 16:05:00","2025-11-21 16:05:00","DR6577","DR6578","短过站","","T1",,"12",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cdb2f9b","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 09:45:00",20,"出","8a69eb009a363b11019aa09d49af26db","2025-11-21 10:22:00","2025-11-21 10:25:00","8a69eb009a363b11019aa09d49af2712","2025-11-21 11:15:00","2025-11-21 11:15:00","SC2205","SC2206","短过站","押运","T1",,"13",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cdc2f9f","8b42f7102ad2431a8e7e2a0ed3e880e7","出港押运","2025-11-21","2025-11-21 07:20:00",10,"出",,,,"8a69eb009a363b11019aa09d49af2713","2025-11-21 07:50:00","2025-11-21 07:50:00",,"FU6595","始发","押运","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925a9220a","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:50:00",30,"出",,,,"8a69eb009a363b11019aa09d49af2713","2025-11-21 07:50:00","2025-11-21 07:50:00",,"FU6595","始发","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925a9220b","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:50:00",30,"出",,,,"8a69eb009a363b11019aa09d49af2713","2025-11-21 07:50:00","2025-11-21 07:50:00",,"FU6595","始发","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16925a9220c","f5a820eb79fc401fbaee9ef53d05fe5e","出港装机","2025-11-21","2025-11-21 06:50:00",30,"出",,,,"8a69eb009a363b11019aa09d49af2713","2025-11-21 07:50:00","2025-11-21 07:50:00",,"FU6595","始发","","T1",,"17",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cdc2fa3","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 16:20:00",20,"出","8a69eb009a363b11019aa09d49ae26a6","2025-11-21 16:43:00","2025-11-21 17:00:00","8a69eb009a363b11019aa09d49af2716","2025-11-21 17:50:00","2025-11-21 17:50:00","GX8847","GX8848","短过站","押运","T1",,"2",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3960dfa20e0","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3960dfa20e1","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa3960dfa20e2","321db65919d042cca0a4365bd26e4f01","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923b113ef","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923b113f0","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16923b113f1","ea06cd8b2378496791565af100607f07","进港卸机","2025-11-21","2025-11-21 10:06:00",36,"进","8a69eb009a363b11019aa09d49af2717","2025-11-21 10:06:00","2025-11-21 10:20:00","8a69eb009a363b11019aa09d49ae2653","2025-11-21 11:10:00","2025-11-21 11:10:00","HU7263","HU7264","短过站","","T1",,"11",,"Y","Y","N",,,
"8a69df6f9a4879a7019aa16a4cdd2fa6","6d77d95110764d19a7e280ccca38ee86","出港押运","2025-11-21","2025-11-21 10:25:00",20,"出","8a69eb009a363b11019aa09d49af26eb","2025-11-21 10:47:00","2025-11-21 10:55:00","8a69eb009a363b11019aa09d49af2718",,"2025-11-21 11:55:00","GY7107","GY7186","短过站","押运","T1",,"6",,"Y","Y","N",,,
